Country or Area,Phonesubscriptions,GDP
Afghanistan,74.8828424132874,667.883419646451
Albania,105.469965746985,4594.96620955242
Algeria,92.9479307330594,5495.99905835606
Andorra,82.6431948897733,46033.5741227986
Angola,63.4792082001473,6014.3239396983
Antigua and Barbuda,132.05394761449,21531.4276932534
Argentina,158.798561112357,14019.0353827975
Armenia,115.923210198426,13278.7938786179
Aruba,135.065889336853,3861.91567067933
Australia,131.230546848819,25615.7681228049
Austria,151.911251474679,61436.5431594243
Azerbaijan,110.905363353238,51471.2342503221
Bahamas,82.2963580616408,7813.23615929342
Bahrain,173.27393347722,22497.4497825372
Bangladesh,80.0353505087956,24514.9796026321
Barbados,128.730432837177,1087.9071871175
Belarus,122.501138584571,15360.1171571741
Belgium,114.269957521343,8010.58790912708
Belize,50.7125660028609,47367.3850656175
Benin,99.6522197724235,4884.36856209448
Bermuda,90.8800659934923,903.45623159397
Bhutan,82.0700618638577,90600.3911760934
Bolivia,96.3372482776015,2560.52037390301
Bosnia and Herzegovina,91.2789502884636,3124.08076441174
Botswana,167.297593872619,4851.76179516914
Brazil,138.951490610451,7149.63580419474
Brunei Darussalam,110.057064543188,11729.0367772011
Bulgaria,137.706595342242,30501.4759844516
Burkina Faso,71.737469513534,41021.9667994711
Burundi,30.4620103575855,7876.02695224599
Cambodia,132.733798148657,716.132437153801
Cameroon,75.6851330964976,258.715970097545
Canada,81.0393164964622,3661.17589847041
Cape Verde,121.789701709763,1089.6700578864
Cayman Islands,153.74835376355,1407.40354739718
Central African Rep.,24.5396089317025,50379.1630406635
Chad,39.7509799679755,61681.3942982261
Chile,133.255628761386,365.404443115084
China,92.2734908227189,941.585703599031
Colombia,113.081145429323,14566.1486430389
Comoros,50.9012038201154,40298.1065986172
Congo,108.149574188884,96074.5531203209
Congo (Democratic Republic of the),53.4932163754393,7692.6042235519
Costa Rica,143.828359244231,7918.07870983254
Cote d'Ivoire,106.247609322745,1593.21095415734
Croatia,104.431321400248,3124.80393300275
Cuba,22.4783958427502,15322.6609967662
Curacao,121.596554536691,10437.4342150194
Cyprus,96.3353101058229,1541.87135050893
Czech Republic,129.539048019137,13412.2857169612
Dem. People's Rep. of Korea,11.1881012305793,7088.07568535011
Denmark,125.888127054011,20276.9979545992
Djibouti,32.3868655881162,26408.1913769598
Dominica,127.45192905821,19712.1231692093
Dominican Rep.,78.8638263591996,695.892511265703
Ecuador,103.899164782894,479.578018246295
Egypt,114.305985751523,62387.6874441971
El Salvador,144.011578144013,1813.59622614428
Equatorial Guinea,66.3881109578812,7234.25627698447
Eritrea,6.38599694989853,6147.34883383601
Estonia,160.687848533734,6432.29581291884
Ethiopia,31.5938803866051,3315.24823414757
Faroe Islands,124.116457743631,4102.06865883852
Fiji,98.7767001455424,26195.6786668087
Finland,139.663896204958,792.843660245377
France,101.212415676367,19916.3831673136
French Polynesia,91.1690817803348,560.298121883743
Gabon,171.375053030046,5042.23855100446
Gambia,119.630488738859,49722.6740305182
Georgia,124.935540091449,42801.1408185829
Germany,120.420185505886,21585.8666403282
Ghana,114.819478940048,10317.4603481791
Gibraltar,129.538094426453,440.37079368301
Greece,110.264463799122,4091.83203361691
Greenland,106.360646560773,48102.3731415959
Grenada,110.204791962597,1396.90681557129
Guatemala,106.633770318935,21460.2816055924
Guinea,72.098750753286,43429.6860051611
Guinea-Bissau,63.4836905529735,8312.6380195464
Guyana,70.5389105324652,3666.57879979768
Haiti,64.7074595783417,723.062805605623
Honduras,93.5156364150515,570.400681042262
"Hong Kong, China",233.615177429955,4028.16493966129
Hungary,118.053828318504,819.277815018187
Iceland,111.080192714665,2448.88050638079
India,74.4837699065089,14085.039860354
Indonesia,128.784434076759,52486.0294524877
Iran (Islamic Rep. of),87.7927311076041,1579.7652934053
Iraq,94.9127867973207,3499.58873585754
Ireland,105.067581146549,5442.87476140335
Israel,121.450652618278,5465.10495062003
Italy,154.248656431979,54815.478177627
Jamaica,107.383531088091,38890.0947313003
Japan,120.232998305005,35956.8857017404
Jordan,147.803889024802,4993.19190430103
Kazakhstan,172.191305313377,38240.8619309857
Kenya,73.8432480759004,4830.97362967091
Kiribati,17.4135575609475,12745.82343279
Korea (Rep. of),115.709981247788,1368.49162894375
Kuwait,218.430285244086,1684.37685243542
Kyrgyzstan,134.460868104352,4183.42537109282
Lao P.D.R.,66.9933325577907,43338.8782100301
Latvia,116.799135372844,1277.99312808087
Lebanon,88.3477845166066,1771.96535869641
Lesotho,85.0224861752811,15744.4940795946
Liberia,73.3534491444261,8675.58866806937
Libya,161.12060986476,1034.18952150919
Liechtenstein,109.297198472872,457.858586520261
Lithuania,147.043250860041,7684.05629021062
Luxembourg,149.489251268255,178722.777179172
"Macao, China",322.59153647123,16657.3529972299
Madagascar,41.2094801442493,117454.182233867
Malawi,33.4688086334041,452.810401179509
Malaysia,148.829848890429,357.314889289776
Maldives,189.383113558531,11306.0391512557
Mali,149.069131234602,8657.09408479853
Malta,126.986883523269,842.11441752076
Marshall Islands,29.3716364738877,25703.9317734428
Mauritania,94.1992848711882,3529.74830806458
Mauritius,132.249824080515,1434.45391390535
Mexico,82.2200092302685,9942.67753664487
Moldova,107.995221559031,10325.6847387445
Monaco,88.4647717122892,3056.93744954058
Mongolia,105.060985661559,187649.795491031
Montenegro,163.029368892207,4201.73769163272
Morocco,131.71305603822,7336.96328190342
Mozambique,69.8169986700022,11579.3453445593
Myanmar,54.0392872102992,3243.06189021651
Namibia,113.756245772977,623.198181094288
Nepal,81.8660533115416,1240.70909066696
Netherlands,116.423407687313,5349.46957718992
New Caledonia,93.5633351807377,17856.785571782
New Zealand,112.054689719466,700.556991553105
Nicaragua,114.565599263057,52148.0935003033
Niger,44.4374857632685,39398.4553102516
Nigeria,77.8415471511874,44207.3869171996
Norway,116.1330373352,1960.49088001535
Oman,157.753256596473,431.38172326364
Pakistan,73.3321910549828,3203.24344156614
Palau,90.6005593212305,96803.157630779
Palestine,72.0751526402761,19129.660035049
Panama,158.054282495466,1339.96512041786
Papua New Guinea,44.9284574273138,11091.6244015737
Paraguay,105.604533030992,12712.4313235691
Peru,103.610657544261,2975.41195443793
Philippines,111.218723380687,4712.87024057153
Poland,148.88670210677,6537.62051387178
Portugal,112.113913041511,2873.09114610505
Puerto Rico,87.1110633317778,14115.798693194
Qatar,145.764746136982,22074.8173869676
Romania,105.914150019538,27692.4262115162
Russia,155.144239024479,94944.0855935367
Rwanda,64.0246911396805,28184.7381763584
Saint Kitts and Nevis,118.636952672982,1960.35299634926
Saint Lucia,102.588808156952,10143.0107536705
Samoa,55.5301280814884,14160.0846081021
San Marino,118.848184088251,696.850622965052
Sao Tome and Principe,64.9376901385674,15429.8593652257
Saudi Arabia,179.55746363191,7649.15602869062
Senegal,98.8421774805919,6656.11578476794
Serbia,122.132822025314,4295.92210435856
Seychelles,162.193213726877,58390.3518850455
Sierra Leone,76.6560382584021,1968.1883640267
Singapore,146.885085684477,24406.4733910856
Slovak Republic,116.940134070288,1043.39902657133
Slovenia,112.083010533862,6203.16522348021
Solomon Islands,65.7565045865954,14074.042041286
Somalia,50.8992933419745,794.125710340696
South Africa,149.193517488526,55634.604480207
South Sudan,24.5009463554708,28084.7599377792
Spain,107.849270058927,18580.7080410504
Sri Lanka,103.157848107611,23973.1446476492
St. Vincent and the Grenadines,105.162245933566,1924.00594212547
Sudan,72.1989896103896,148.785202538242
Suriname,170.57498736039,6509.40358545392
Swaziland,72.3197213229587,1348.43217339381
Sweden,127.839262169305,29741.9910169103
Switzerland,136.677398191887,3881.14563230443
Syria,63.8558914139353,2799.52329989549
T.F.Y.R. Macedonia,105.501950736898,1762.36723984463
Tajikistan,95.1260603735521,9736.65231707993
Tanzania,62.7743323400015,3539.93282324206
Thailand,144.438719549621,59136.6703444117
Timor-Leste,119.377164431263,85577.0026691707
Togo,64.5782415142386,1816.25108786316
Tonga,64.2831483617251,1113.40804939655
Trinidad and Tobago,147.337779480522,5969.93717123152
Tunisia,128.485767478863,5474.14166506865
Turkey,94.7933027959168,3607.09008951407
Turkmenistan,135.780437449632,643.10047679945
Tuvalu,38.407115423489,4121.67698676131
Uganda,52.4292396291441,20130.94179268
Ukraine,144.082158980983,4277.02592903245
United Arab Emirates,178.061544689901,10298.9518244649
United Kingdom,123.581084629246,8193.72029690444
United States,110.20419345959,23614.6741849437
Uruguay,160.79514574864,3795.98913086928
Uzbekistan,78.4213563071954,749.557870323121
Vanuatu,60.4144002539673,2966.58799137238
Venezuela,98.9520034832843,44238.5910927415
Viet Nam,147.1108876642,46615.4317051729
Yemen,68.4862707855832,955.467056120809
Zambia,67.3381642582832,936.248838448893
Zimbabwe,80.8164213071495,54447.260525772
